	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
970	62.528	172.4	501.76	297.87	
971	62.628	172.04	501.09	296.9	
972	62.728	171.68	500.42	295.94	
973	62.829	171.32	499.74	294.99	
974	62.929	170.96	499.05	294.05	
975	63.029	170.6	498.36	293.12	
976	63.089	170.38	497.94	292.56	
977	63.099	170.35	497.87	292.47	
978	63.109	170.32	497.8	292.38	
979	63.139	170.24	497.59	292.1	
980	63.229	169.98	496.96	291.29	
981	63.329	169.69	496.25	290.39	
982	63.429	169.4	495.79	289.5	
983	63.53	169.11	495.33	288.62	
984	63.63	168.82	494.85	287.75	
985	63.73	168.53	494.37	286.89	
986	63.83	168.24	493.87	286.04	
987	63.93	167.95	493.37	285.2	
988	64.03	167.66	492.85	284.36	
989	64.09	167.49	492.54	283.86	
990	64.1	167.47	492.49	283.78	
991	64.11	167.45	492.44	283.7	
992	64.14	167.38	492.28	283.45	
993	64.231	167.18	491.8	282.72	
994	64.331	166.95	491.25	281.91	
995	64.431	166.73	490.7	281.12	
996	64.531	166.5	490.13	280.33	
997	64.631	166.28	489.56	279.55	
998	64.731	166.06	488.98	278.78	
999	64.831	165.83	488.39	278.02	
1000	64.932	165.61	487.79	277.26	
1001	65.032	165.38	487.18	276.51	
1002	65.092	165.25	486.82	276.06	
1003	65.102	165.23	486.76	275.99	
1004	65.112	165.22	486.69	275.91	
1005	65.142	165.17	486.51	275.69	
1006	65.232	165.01	485.95	275.04	
1007	65.332	164.85	485.32	274.32	
1008	65.432	164.68	484.68	273.6	
1009	65.532	164.51	484.03	272.9	
1010	65.633	164.34	483.38	272.2	
1011	65.733	164.17	482.72	271.51	
1012	65.833	164.01	482.05	270.82	
1013	65.933	163.84	481.38	270.14	
1014	66.033	163.67	480.7	269.47	
1015	66.093	163.57	480.29	269.07	
1016	66.103	163.56	480.22	269.	
1017	66.113	163.55	480.16	268.94	
1018	66.143	163.51	479.95	268.74	
1019	66.233	163.4	479.33	268.15	
1020	66.334	163.27	478.63	267.5	
1021	66.434	163.15	477.93	266.86	
1022	66.534	163.03	477.22	266.23	
1023	66.634	162.91	476.5	265.6	
1024	66.734	162.78	475.78	264.98	
1025	66.834	162.66	475.06	264.36	
1026	66.934	162.54	474.33	263.75	
1027	67.035	162.41	473.59	263.15	
1028	67.095	162.34	473.15	262.79	
1029	67.105	162.33	473.07	262.73	
1030	67.115	162.32	473.	262.67	
1031	67.145	162.3	472.78	262.49	
1032	67.235	162.22	472.11	261.96	
1033	67.335	162.13	471.36	261.38	
1034	67.435	162.05	470.61	260.81	
1035	67.535	161.96	469.85	260.24	
1036	67.635	161.88	469.09	259.67	
1037	67.735	161.79	468.32	259.11	
1038	67.836	161.7	467.55	258.56	
1039	67.936	161.62	466.78	258.01	
1040	68.036	161.53	466.	257.46	
1041	68.096	161.48	465.54	257.14	
1042	68.106	161.47	465.46	257.09	
1043	68.116	161.47	465.38	257.03	
1044	68.146	161.45	465.15	256.87	
1045	68.236	161.4	464.44	256.39	
1046	68.336	161.34	463.66	255.87	
1047	68.436	161.28	462.87	255.35	
1048	68.537	161.22	462.07	254.83	
1049	68.637	161.16	461.28	254.32	
1050	68.737	161.1	460.48	253.82	
1051	68.837	161.04	459.68	253.32	
1052	68.937	160.98	458.88	252.82	
1053	69.037	160.93	458.07	252.33	
1054	69.097	160.89	457.58	252.04	
1055	69.107	160.89	457.5	251.99	
1056	69.117	160.88	457.42	251.94	
1057	69.147	160.87	457.18	251.79	
1058	69.238	160.83	456.45	251.36	
1059	69.338	160.79	455.64	250.89	
1060	69.438	160.75	454.83	250.41	
1061	69.538	160.71	454.01	249.95	
1062	69.638	160.67	453.19	249.48	
1063	69.738	160.63	452.37	249.03	
1064	69.838	160.59	451.55	248.57	
1065	69.938	160.55	450.73	248.12	
1066	70.038	160.51	449.9	247.67	
1067	70.099	160.49	449.4	247.4	
